PROSPERO;SO;AU_CO;PY
Yes;BMJ OPEN;UNITED KINGDOM;2012
Yes;BMJ OPEN;ENGLAND;2012
Yes;SYST REV;ENGLAND;2012
Yes;SYST REV;ENGLAND;2012
Yes;BMJ OPEN;ENGLAND;2012
Yes;SYST REV;CANADA;2012
Yes;SYST REV;ENGLAND;2012
Yes;SYST REV;UNITED KINGDOM;2013
Yes;SYST REV;CANADA;2012
Yes;SYST REV;ENGLAND;2012
Yes;BMJ OPEN;ENGLAND;2012
Yes;SYST REV;CANADA;2013
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;ENGLAND;2013
Yes;INFORM PRIM CARE;ENGLAND;2012
Yes;SYST REV;CANADA;2013
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;ENGLAND;2014
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;ENGLAND;2013
Yes;BMJ OPEN;ENGLAND;2013
Yes;SYST REV;CANADA;2013
Yes;SYST REV;CANADA;2013
Yes;SYST REV;CANADA;2013
Yes;SYST REV;UNITED KINGDOM;2013
Yes;SYST REV;CANADA;2013
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;ENGLAND;2014
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;ENGLAND;2014
Yes;SYST REV;CANADA;2013
Yes;SYST REV;UNITED KINGDOM;2013
Yes;SYST REV;ENGLAND;2014
Yes;SYST REV;UNITED KINGDOM;2013
Yes;SYST REV;CANADA;2013
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;CANADA;2013
Yes;SYST REV;UNITED STATES;2013
Yes;BMJ OPEN;ENGLAND;2013
Yes;BMJ OPEN;ENGLAND;2014
Yes;SYST REV;ENGLAND;2014
Yes;SYST REV;ENGLAND;2014
Yes;BMJ OPEN;ENGLAND;2014
Yes;BMJ OPEN;ENGLAND;2014
Yes;BMJ OPEN;ENGLAND;2013
Yes;SYST REV;ENGLAND;2013
Yes;SYST REV;CANADA;2013
Yes;SYST REV;ENGLAND;2015
