;group;ALL_country_curated;FINAL_ORDEN;continente;continente_color;min_year;orden_year;orden_group;Since_2011;width;Sort_2011;sort_width;sort_group;sort_alfa;ALL_SUM
38;Only_Journal;UK;1;EUROPA;"""red""";2011;1;C;0;0;22;2;1;154;179
143;Only_PROSPERO;UK;1;EUROPA;"""red""";2011;1;C;0;0;23;3;1;155;182
180;PROSPERO_and_Journal;UK;1;EUROPA;"""red""";2011;1;C;0;0;24;4;1;156;185
6;Only_Journal;CANADA;2;AMERICA;"""green""";2011;1;C;0;1;5;5;1;26;37
59;Only_PROSPERO;CANADA;2;AMERICA;"""green""";2011;1;C;0;1;6;6;1;27;40
158;PROSPERO_and_Journal;CANADA;2;AMERICA;"""green""";2012;2;C;1;1;29;10;1;28;68
1;Only_Journal;AUSTRALIA;3;OCEANIA;"""orange""";2011;1;C;0;2;1;17;1;6;25
48;Only_PROSPERO;AUSTRALIA;3;OCEANIA;"""orange""";2011;1;C;0;2;2;18;1;7;28
154;PROSPERO_and_Journal;AUSTRALIA;3;OCEANIA;"""orange""";2013;3;C;2;2;55;27;1;8;91
7;Only_Journal;CHINA;4;ASIA;"""blue""";2011;1;C;0;2;7;19;1;31;58
61;Only_PROSPERO;CHINA;4;ASIA;"""blue""";2011;1;C;0;2;8;20;1;32;61
160;PROSPERO_and_Journal;CHINA;4;ASIA;"""blue""";2013;3;C;2;2;60;28;1;33;122
12;Only_Journal;GERMANY;5;EUROPA;"""red""";2011;1;C;0;2;11;21;1;52;85
79;Only_PROSPERO;GERMANY;5;EUROPA;"""red""";2011;1;C;0;2;12;22;1;53;88
163;PROSPERO_and_Journal;GERMANY;5;EUROPA;"""red""";2013;3;C;2;2;63;31;1;54;149
18;Only_Journal;ITALY;6;EUROPA;"""red""";2011;1;C;0;3;15;40;1;73;129
90;Only_PROSPERO;ITALY;6;EUROPA;"""red""";2011;1;C;0;3;16;41;1;74;132
167;PROSPERO_and_Journal;ITALY;6;EUROPA;"""red""";2014;4;C;3;3;92;46;1;75;214
147;Only_PROSPERO;USA;7;AMERICA;"""green""";2011;1;C;0;1;25;8;1;160;194
181;PROSPERO_and_Journal;USA;7;AMERICA;"""green""";2011;1;C;0;1;26;9;1;161;197
40;Only_Journal;USA;7;AMERICA;"""green""";2012;2;C;1;1;54;16;1;162;233
107;Only_PROSPERO;NETHERLANDS;8;EUROPA;"""red""";2011;1;C;0;2;17;23;1;97;138
171;PROSPERO_and_Journal;NETHERLANDS;8;EUROPA;"""red""";2011;1;C;0;2;18;24;1;98;141
22;Only_Journal;NETHERLANDS;8;EUROPA;"""red""";2013;3;C;2;2;72;35;1;99;207
69;Only_PROSPERO;DENMARK;9;EUROPA;"""red""";2011;1;C;0;5;9;70;1;39;119
161;PROSPERO_and_Journal;DENMARK;9;EUROPA;"""red""";2012;2;C;1;5;32;72;1;40;145
9;Only_Journal;DENMARK;9;EUROPA;"""red""";2015;5;C;4;5;109;77;1;41;228
55;Only_PROSPERO;BRAZIL;10;AMERICA;"""green""";2011;1;C;0;6;4;92;1;19;116
157;PROSPERO_and_Journal;BRAZIL;10;AMERICA;"""green""";2013;3;C;2;6;59;99;1;20;179
4;Only_Journal;BRAZIL;10;AMERICA;"""green""";2015;5;C;4;6;104;105;1;21;231
88;Only_PROSPERO;IRELAND;11;EUROPA;"""red""";2011;1;C;0;6;14;93;1;69;177
166;PROSPERO_and_Journal;IRELAND;11;EUROPA;"""red""";2013;3;C;2;6;68;101;1;70;240
17;Only_Journal;IRELAND;11;EUROPA;"""red""";2015;5;C;4;6;112;106;1;71;290
127;Only_PROSPERO;SOUTH AFRICA;12;AFRICA;"""yellow""";2011;1;C;0;4;20;52;1;126;199
31;Only_Journal;SOUTH AFRICA;12;AFRICA;"""yellow""";2013;3;C;2;4;78;59;1;127;265
174;PROSPERO_and_Journal;SOUTH AFRICA;12;AFRICA;"""yellow""";2013;3;C;2;4;79;60;1;128;268
129;Only_PROSPERO;SPAIN;13;EUROPA;"""red""";2011;1;C;0;6;21;95;1;132;249
33;Only_Journal;SPAIN;13;EUROPA;"""red""";2012;2;C;1;6;47;97;1;133;278
176;PROSPERO_and_Journal;SPAIN;13;EUROPA;"""red""";2016;6;C;5;6;134;107;1;134;376
85;Only_PROSPERO;INDIA;14;ASIA;"""blue""";2012;2;C;1;6;36;96;1;62;195
164;PROSPERO_and_Journal;INDIA;14;ASIA;"""blue""";2013;3;C;2;6;67;100;1;63;231
15;Only_Journal;INDIA;14;ASIA;"""blue""";2014;4;C;3;6;89;102;1;64;256
136;Only_PROSPERO;TAIWAN;15;ASIA;"""blue""";2012;2;C;1;7;51;131;1;144;327
179;PROSPERO_and_Journal;TAIWAN;15;ASIA;"""blue""";2013;3;C;2;7;83;132;1;145;361
36;Only_Journal;TAIWAN;15;ASIA;"""blue""";2015;5;C;4;7;120;137;1;146;404
87;Only_PROSPERO;IRAN;16;ASIA;"""blue""";2012;2;C;1;9;37;152;1;66;256
165;PROSPERO_and_Journal;IRAN;16;ASIA;"""blue""";2014;4;C;3;9;90;156;1;67;314
16;Only_Journal;IRAN;16;ASIA;"""blue""";2016;6;C;5;9;127;159;1;68;355
23;Only_Journal;NEW ZEALAND;17;OCEANIA;"""orange""";2012;2;C;1;7;40;129;1;100;270
108;Only_PROSPERO;NEW ZEALAND;17;OCEANIA;"""orange""";2012;2;C;1;7;41;130;1;101;273
172;PROSPERO_and_Journal;NEW ZEALAND;17;OCEANIA;"""orange""";2016;6;C;5;7;131;138;1;102;372
92;Only_PROSPERO;JAPAN;18;ASIA;"""blue""";2013;3;C;2;9;69;153;1;77;300
168;PROSPERO_and_Journal;JAPAN;18;ASIA;"""blue""";2014;4;C;3;9;93;157;1;78;329
20;Only_Journal;JAPAN;18;ASIA;"""blue""";2015;5;C;4;9;113;158;1;79;351
134;Only_PROSPERO;SWITZERLAND;19;EUROPA;"""red""";2012;2;C;1;8;50;141;1;140;332
35;Only_Journal;SWITZERLAND;19;EUROPA;"""red""";2013;3;C;2;8;82;144;1;141;368
178;PROSPERO_and_Journal;SWITZERLAND;19;EUROPA;"""red""";2016;6;C;5;8;136;147;1;142;426
133;Only_PROSPERO;SWEDEN;20;EUROPA;"""red""";2012;2;C;1;12;49;163;1;137;350
177;PROSPERO_and_Journal;SWEDEN;20;EUROPA;"""red""";2016;6;C;5;12;135;164;1;138;438
34;Only_Journal;SWEDEN;20;EUROPA;"""red""";2017;7;C;6;12;159;167;1;139;466
128;Only_PROSPERO;SOUTH KOREA;21;ASIA;"""blue""";2013;3;C;2;9;80;154;1;129;364
175;PROSPERO_and_Journal;SOUTH KOREA;21;ASIA;"""blue""";2013;3;C;2;9;81;155;1;130;367
32;Only_Journal;SOUTH KOREA;21;ASIA;"""blue""";2016;6;C;5;9;133;160;1;131;425
78;Only_PROSPERO;FRANCE;22;EUROPA;"""red""";2011;1;B;0;1;10;7;25;50;92
162;PROSPERO_and_Journal;FRANCE;22;EUROPA;"""red""";2012;2;B;1;1;35;12;25;51;123
5;Only_Journal;CAMEROON;23;AFRICA;"""yellow""";2012;2;B;1;2;27;25;25;24;101
58;Only_PROSPERO;CAMEROON;23;AFRICA;"""yellow""";2012;2;B;1;2;28;26;25;25;104
51;Only_PROSPERO;BELGIUM;24;EUROPA;"""red""";2011;1;B;0;6;3;91;25;13;132
2;Only_Journal;BELGIUM;24;EUROPA;"""red""";2017;7;B;6;6;146;112;25;14;297
60;Only_PROSPERO;CHILE;25;AMERICA;"""green""";2012;2;B;1;5;30;71;25;29;155
159;PROSPERO_and_Journal;CHILE;25;AMERICA;"""green""";2015;5;B;4;5;105;76;25;30;236
77;Only_PROSPERO;FINLAND;26;EUROPA;"""red""";2012;2;B;1;4;34;53;25;48;160
11;Only_Journal;FINLAND;26;EUROPA;"""red""";2014;4;B;3;4;87;61;25;49;222
10;Only_Journal;ETHIOPIA;27;AFRICA;"""yellow""";2015;5;B;4;5;110;78;25;45;258
