sort;country;count
;AFGHANISTAN;14
3;ALBANIA;19
4;ALGERIA;19
5;ANDORRA;15
6;ANTIGUA AND BARBUDA;14
7;ARGENTINA;43
8;ARMENIA;21
287;AUSTRALIA;5
164;AUSTRALIA;2265
10;AUSTRIA;86
11;AZERBAIJAN;15
12;BAHAMAS;14
13;BAHRAIN;18
14;BANGLADESH;32
15;BARBADOS;14
16;BELARUS;15
169;BELGIUM;227
18;BELIZE;16
19;BENIN;21
20;BERMUDA;15
21;BHUTAN;15
22;BOLIVIA;16
173;BOSNIA AND HERZEGOVINA;17
24;BOTSWANA;21
175;BRAZIL;1944
27;BULGARIA;20
177;BURKINA FASO;1
28;BURMA;14
29;CAMBODIA;18
30;CAMEROON;71
182;CANADA;1877
32;CHAD;19
183;CHILE;85
184;CHINA;1931
185;COLOMBIA;135
36;CONGO;34
37;COSTA RICA;20
38;CROATIA;34
39;CYPRUS;26
189;CZECH REPUBLIC;46
190;DENMARK;414
44;DOMINICAN REPUBLIC;33
45;ECUADOR;23
192;EGYPT;249
47;ELSALVADOR;16
48;ESTONIA;22
49;ETHIOPIA;83
197;FIJI;53
198;FINLAND;116
;FRANCE;328
55;GABON;8
56;GEORGIA;17
200;GERMANY;563
58;GHANA;55
59;GREECE;143
60;HONDURAS;16
204;HONG KONG;101
205;HUNGARY;56
206;ICELAND;22
207;INDIA;273
65;INDONESIA;36
209;IRAN;357
210;IRAQ;18
69;ISRAEL;48
;ITALY;513
216;JAMAICA;18
72;JAPAN;298
218;JORDAN;27
219;KENIA;47
75;KUWAIT;10
221;LAOS;13
222;LATVIA;20
78;LEBANON;41
79;LIECHTENSTEIN;16
80;LITHUANIA;57
225;LUXEMBOURG;22
82;MACEDONIA;11
226;MALAWI;30
84;MALAYSIA;125
85;MALI;20
228;MALTA;29
87;MAURITIUS;15
88;MEXICO;65
89;MOLDOVA;15
90;MONACO;15
91;MONTENEGRO;15
230;MOROCCO;23
231;NAIROBI;1
232;NAMIBIA;20
233;NAPAL;33
235;THE NETHERLAND;797
238;NEW ZEALAND;123
97;NICARAGUA;14
240;NIGERIA;64
99;NORTH KOREA;15
100;NORWAY;176
101;OMAN;17
102;PAKISTAN;78
244;PALESTINE;11
104;PANAMA;14
105;PAPUA NEW GUINEA;14
106;PARAGUAY;14
107;PERU;34
246;PHILIPPINES;29
109;POLAND;98
249;PORTUGAL;173
111;PUERTO RICO;16
112;QATAR;55
252;ROMANIA;46
253;RUSSIAN FEDERATION;28
115;RWANDA;15
116;SAINT HELENA;14
117;SAINT KITTS AND NEVIS;14
118;SAINT LUCIA;15
119;SAINT PIERRE AND MIQUELON;14
120;SAINT VINCENT AND THE GRENADINES;14
121;SAMOA;14
122;SAN MARINO;15
123;SAO TOME AND PRINCIPE;15
254;SAUDI ARABIA;66
255;SENEGAL;22
256;SERBIA;21
127;SINGAPORE;94
258;SLOVAKIA;18
259;SLOVENIA;23
261;SOUTH AFRICA;315
131;SOUTH KOREA;186
212;SPAIN;473
265;SRI LANKA;26
266;SUDAN;25
135;SWEDEN;167
268;SWITZERLAND;303
270;SYRIA;22
138;TAIWAN;118
273;TANZANIA;34
140;THAILAND;111
141;TONGA;14
142;TRINIDAD AND TOBAGO;16
276;TUNISIA;18
277;TURKEY;60
278;UGANDA;43
215;UK;4165
147;UKRAINE;18
291;UNITED ARAB EMIRATES;37
292;URUGUAY;22
;USA;2461
151;UZBEKISTAN;15
152;VENEZUELA;15
295;VIETNAM;83
296;YEMEN;18
298;ZAIRE;17
299;ZAMBIA;25
300;ZIMBABWE;46
