sort country count value Zone_1 Zone_2
MKD Macedonia 11 0.0454545455 "Central and Eastern Europ" "Central Europe"
AZE Azerbaijan 15 0.0619834711 "Central and Eastern Europ" "Eastern Europe"
BLR Belarus 15 0.0619834711 "Central and Eastern Europ" "Eastern Europe"
MDA Moldova 15 0.0619834711 "Central and Eastern Europ" "Eastern Europe"
UZB Uzbekistan 15 0.0619834711 "Central and Eastern Europ" "Central Asia"
BIH "Bosnia and Herzegovina          " 17 0.0702479339 "Central and Eastern Europ" "Central Europe"
GEO Georgia 17 0.0702479339 "Central and Eastern Europ" "Eastern Europe"
SVK Slovakia 18 0.0743801653 "Central and Eastern Europ" "Central Europe"
UKR Ukraine 18 0.0743801653 "Central and Eastern Europ" "Eastern Europe"
ALB Albania 19 0.0785123967 "Central and Eastern Europ" "Central Europe"
BGR Bulgaria 20 0.0826446281 "Central and Eastern Europ" "Central Europe"
RUS Russia 28 0.1157024793 "Central and Eastern Europ" "Eastern Europe"
CZE "Czech Rep." 46 0.1900826446 "Central and Eastern Europ" "Central Europe"
ROU Romania 46 0.1900826446 "Central and Eastern Europ" "Central Europe"
HUN Hungary 56 0.2314049587 "Central and Eastern Europ" "Central Europe"
LAO Laos 13 0.0537190083 "East Asia and the Pacific" "South East Asia"
PNG "Papua New Guinea" 14 0.0578512397 "East Asia and the Pacific" "South Pacific"
KHM Cambodia 18 0.0743801653 "East Asia and the Pacific" "South East Asia"
PHL Philippines 29 0.1198347107 "East Asia and the Pacific" "South East Asia"
IDN Indonesia 36 0.1487603306 "East Asia and the Pacific" "South East Asia"
FJI Fiji 53 0.2190082645 "East Asia and the Pacific" "South Pacific"
VNM "Viet Nam" 83 0.3429752066 "East Asia and the Pacific" "South East Asia"
THA Thailand 111 0.458677686 "East Asia and the Pacific" "South East Asia"
TWN Taiwan 118 0.4876033058 "East Asia and the Pacific" "Northeast Asia"
NZL "New Zealand" 123 0.5082644628 "East Asia and the Pacific" "Australia + New Zealand"
MYS Malaysia 125 0.5165289256 "East Asia and the Pacific" "South East Asia"
KOR "South Korea" 186 0.7685950413 "East Asia and the Pacific" "Northeast Asia"
JPN Japan 298 1.2314049587 "East Asia and the Pacific" "Northeast Asia"
CHN China 1931 7.979338843 "East Asia and the Pacific" "Northeast Asia"
AUS Australia 2265 9.3595041322 "East Asia and the Pacific" "Australia + New Zealand"
LVA Latvia 20 0.0826446281 Europe "Central Europe"
EST Estonia 22 0.0909090909 Europe "Central Europe"
ISL Iceland 22 0.0909090909 Europe "Western Europe"
LUX Luxembourg 22 0.0909090909 Europe "Western Europe"
SVN Slovenia 23 0.0950413223 Europe "Central Europe"
HRV Croatia 34 0.1404958678 Europe "Central Europe"
LTU Lithuania 57 0.2355371901 Europe "Central Europe"
